report_date_as_yyyy_mm_dd,market_and_exchange_names,open_interest_all,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,lev_net_position
2012-10-16,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2927011,517739,804904,54773,-287165
2012-10-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,784344,108623,177270,19031,-68647
2012-10-23,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2989251,523771,837029,56123,-313258
2012-10-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,805026,104514,183579,26547,-79065
2012-10-23,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,207176,14484,30898,598,-16414
2012-10-30,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,205849,13879,24557,611,-10678
2012-10-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,809024,105925,180471,22140,-74546
2012-10-30,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3015873,519749,839086,48126,-319337
2012-11-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,807567,110045,178964,25239,-68919
2012-11-06,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2996323,543981,818013,64197,-274032
2012-11-06,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,208302,13005,27118,643,-14113
2012-11-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,828091,121486,181209,39356,-59723
2012-11-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,212911,13580,37599,1267,-24019
2012-11-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3075902,646478,824998,83495,-178520
2012-11-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,227967,20620,39150,608,-18530
2012-11-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,852640,110296,185219,45624,-74923
2012-11-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3123365,587954,869919,85502,-281965
2012-11-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,847506,111642,188937,41174,-77295
2012-11-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,224065,17636,38357,491,-20721
2012-11-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3117207,594281,877149,79164,-282868
2012-12-04,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,220584,16899,39910,539,-23011
2012-12-04,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3156565,622879,835126,77286,-212247
2012-12-04,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,851897,113338,178799,44133,-65461
2012-12-11,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3226043,672382,812334,84883,-139952
2012-12-11,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,221731,25104,37566,380,-12462
2012-12-11,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,866940,126504,166956,50433,-40452
2012-12-18,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,923950,129047,166990,70878,-37943
2012-12-18,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3395668,679871,814632,167280,-134761
2012-12-18,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,244816,28087,39078,2407,-10991
2012-12-24,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2763921,408411,753720,52237,-345309
2012-12-24,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,176106,8840,7367,337,1473
2012-12-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,728890,87340,154929,13966,-67589
2012-12-31,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,739159,93171,153700,16738,-60529
2012-12-31,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,186152,10579,9854,325,725
2012-12-31,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2765033,442417,748685,52612,-306268
2013-01-08,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2799680,437863,795634,53263,-357771
2013-01-08,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,751437,82851,165725,25125,-82874
2013-01-08,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,191501,9379,20699,372,-11320
2013-01-15,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,186117,11339,19364,456,-8025
2013-01-15,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2843412,431714,844804,59830,-413090
2013-01-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,754799,85914,176557,24190,-90643
2013-01-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,788046,85490,189091,39070,-103601
2013-01-22,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2946116,488404,910013,68171,-421609
2013-01-22,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,198823,12409,31688,836,-19279
2013-01-29,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,207160,13231,22048,942,-8817
2013-01-29,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,805010,90249,190385,27906,-100136
2013-01-29,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2989252,454759,911351,65150,-456592
2013-02-05,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3001463,470803,878170,74112,-407367
2013-02-05,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,207632,12880,28387,893,-15507
2013-02-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,807925,88332,185313,34424,-96981
2013-02-12,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3087242,473602,906002,68986,-432400
2013-02-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,830577,85280,190193,36679,-104913
2013-02-12,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,213129,12404,30837,1037,-18433
2013-02-19,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3147268,538702,924354,82239,-385652
2013-02-19,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,227085,16112,36856,917,-20744
2013-02-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,856539,101427,199301,39790,-97874
2013-02-26,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,227911,16594,37382,1380,-20788
2013-02-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,875260,99243,196726,45010,-97483
2013-02-26,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3236746,529422,912897,101970,-383475
2013-03-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,892367,120526,198974,42645,-78448
2013-03-05,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3275893,612160,916791,116506,-304631
2013-03-05,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,237188,15363,32885,2075,-17522
2013-03-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1017100,126084,206121,58639,-80037
2013-03-12,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,257778,18797,33132,2957,-14335
2013-03-12,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3796609,631205,959715,183638,-328510
2013-03-19,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,155000,9839,13532,660,-3693
2013-03-19,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2845013,506631,828143,70152,-321512
2013-03-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,724003,106324,174319,19532,-67995
2013-03-26,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2929558,503432,871979,59232,-368547
2013-03-26,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,159612,10435,13229,384,-2794
2013-03-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,745524,108150,184654,15202,-76504
2013-04-02,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,161667,11806,15446,494,-3640
2013-04-02,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,763804,108734,190654,21383,-81920
2013-04-02,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3010683,510897,902297,78190,-391400
2013-04-09,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3041311,542489,873625,73753,-331136
2013-04-09,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,775766,118070,181527,19366,-63457
2013-04-09,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,167504,13466,10696,722,2770
