report_date_as_yyyy_mm_dd,market_and_exchange_names,open_interest_all,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,lev_net_position
2018-02-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3341713,470038,489119,133242,-19081
2018-02-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,77641,8277,18237,0,-9960
2018-02-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,745984,85290,99067,43643,-13777
2018-02-20,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,105341,2201,111,1158,2090
2018-02-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3327297,418900,535965,96660,-117065
2018-02-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,743270,75499,108621,35434,-33122
2018-02-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,77811,7821,17530,0,-9709
2018-02-27,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,105739,2159,649,620,1510
2018-02-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,85229,13282,16614,249,-3332
2018-02-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3331246,412143,539154,99433,-127011
2018-02-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,751478,76565,105300,39281,-28735
2018-03-06,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3320841,444490,497652,125564,-53162
2018-03-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,744178,77608,99052,44689,-21444
2018-03-06,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,107809,2179,649,620,1530
2018-03-06,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,80010,8286,19097,0,-10811
2018-03-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3763469,460328,544039,175504,-83711
2018-03-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,841393,78465,108207,57486,-29742
2018-03-13,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,107038,2179,649,620,1530
2018-03-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,88699,7527,20527,1257,-13000
2018-03-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2757489,333829,444749,81606,-110920
2018-03-20,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,107871,2139,899,580,1240
2018-03-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,32950,3083,2652,0,431
2018-03-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,584448,66779,88532,19391,-21753
2018-03-27,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,107099,1309,899,580,410
2018-03-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,645461,83659,80879,25852,2780
2018-03-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2974542,423760,403739,93120,20021
2018-03-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,50553,5690,6914,445,-1224
2018-04-03,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,62386,8868,6725,241,2143
2018-04-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,672875,85108,83782,24702,1326
2018-04-03,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,107179,581,899,580,-318
2018-04-03,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3052445,418351,422436,85151,-4085
2018-04-10,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3030240,396803,433942,86584,-37139
2018-04-10,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,107429,641,899,580,-258
2018-04-10,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,76205,9431,6984,812,2447
2018-04-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,682253,80263,85244,26657,-4981
2018-04-17,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,107356,773,731,448,42
2018-04-17,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,77465,10008,4856,407,5152
2018-04-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,679003,79619,86419,24783,-6800
2018-04-17,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3007691,369858,429620,100076,-59762
2018-04-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,685976,83497,81015,31205,2482
2018-04-24,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3040799,425049,443465,89411,-18416
2018-04-24,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,77816,10983,4818,827,6165
2018-04-24,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,107244,948,731,448,217
2018-05-01,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,107728,1180,731,178,449
2018-05-01,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,81901,10455,8222,406,2233
2018-05-01,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,680823,84808,65861,30488,18947
2018-05-01,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2994612,448920,365350,73257,83570
2018-05-08,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,108608,2150,731,178,1419
2018-05-08,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2989404,396094,400886,66565,-4792
2018-05-08,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,98616,12306,9824,136,2482
2018-05-08,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,696497,73573,72049,31401,1524
2018-05-15,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,99871,12941,9221,104,3720
2018-05-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,710995,73897,74097,37348,-200
2018-05-15,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3055622,401481,421080,89520,-19599
2018-05-15,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,108970,2170,731,178,1439
2018-05-22,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,105810,12954,11111,418,1843
2018-05-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,731490,73707,76146,38077,-2439
2018-05-22,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3128400,406479,427893,85578,-21414
2018-05-22,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,109040,3450,731,178,2719
2018-05-29,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3209503,405636,471071,75325,-65435
2018-05-29,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,111005,3450,731,178,2719
2018-05-29,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,116480,15338,10988,265,4350
2018-05-29,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,758381,76097,84834,35698,-8737
2018-06-05,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,115774,15162,5814,368,9348
2018-06-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,764297,69296,77076,38818,-7780
2018-06-05,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3242617,360139,445781,102779,-85642
2018-06-05,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,110630,3570,731,178,2839
2018-06-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,808289,72399,81649,52431,-9250
2018-06-12,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3411142,371663,469107,170085,-97444
2018-06-12,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,126061,16218,5979,263,10239
2018-06-12,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,111404,5218,0,408,5218
2018-06-19,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2679161,314219,412618,69214,-98399
2018-06-19,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,48313,2350,303,200,2047
2018-06-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,584145,64466,82099,14771,-17633
2018-06-19,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113484,6518,0,408,6518
2018-06-26,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,54785,5302,1452,201,3850
2018-06-26,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2687018,335956,429691,66208,-93735
2018-06-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,592189,71037,85934,14899,-14897
2018-06-26,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,112964,8238,0,408,8238
2018-07-03,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2677808,306650,398174,71393,-91524
2018-07-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,591994,65397,79632,15229,-14235
2018-07-03,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,56432,5016,946,1,4070
2018-07-03,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,112537,8298,0,408,8298
2018-07-10,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113725,8696,0,408,8696
2018-07-10,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,59188,4980,1815,2,3165
2018-07-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,603377,64000,85665,17270,-21665
2018-07-10,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2720946,310066,434216,71374,-124150
2018-07-17,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2777242,321909,472027,82105,-150118
2018-07-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,617923,66372,92386,19643,-26014
2018-07-17,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113614,8420,0,408,8420
2018-07-17,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,62475,5139,1130,73,4009
2018-07-24,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2779106,337301,488085,75701,-150784
2018-07-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,618863,68900,94628,19594,-25728
2018-07-24,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,63042,5621,1192,273,4429
2018-07-24,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113873,8540,0,408,8540
2018-07-31,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2762632,333057,427497,79228,-94440
2018-07-31,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,62733,5550,2108,0,3442
2018-07-31,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,615259,67770,83216,20237,-15446
2018-07-31,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113877,8745,0,408,8745
2018-08-07,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,631017,68888,92792,21644,-23904
2018-08-07,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,64923,5713,1097,133,4616
2018-08-07,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,114156,8985,0,408,8985
2018-08-07,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2830470,339650,482248,83779,-142598
2018-08-14,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,64919,5692,1339,0,4353
2018-08-14,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,628840,69782,90811,22142,-21029
2018-08-14,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2819606,344881,471792,86277,-126911
2018-08-14,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113758,9465,0,408,9465
2018-08-21,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2828985,340436,506464,80272,-166028
2018-08-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,632271,67542,98345,22049,-30803
2018-08-21,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,114319,9585,0,408,9585
2018-08-21,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,66474,5450,3047,0,2403
2018-08-28,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2876521,347694,519404,84773,-171710
2018-08-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,646116,68281,98897,25948,-30616
2018-08-28,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113665,9605,0,408,9605
2018-08-28,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,70812,7535,3809,200,3726
2018-09-04,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,648498,57027,99386,23579,-42359
2018-09-04,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2893316,295334,523408,70716,-228074
2018-09-04,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113695,9906,0,408,9906
2018-09-04,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,69835,7396,4140,0,3256
2018-09-11,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113465,9990,0,408,9990
2018-09-11,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,69681,7356,4540,0,2816
2018-09-11,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,653358,55989,97582,25883,-41593
2018-09-11,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2918387,291099,513146,81482,-222047
2018-09-18,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,115801,10210,0,408,10210
2018-09-18,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,726708,46783,88798,36674,-42015
2018-09-18,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3299237,243478,478012,124087,-234534
2018-09-18,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,66861,9546,4655,398,4891
2018-09-25,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2732088,184271,431992,36866,-247721
2018-09-25,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33216,1182,1327,200,-145
2018-09-25,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,579634,37725,87414,7884,-49689
2018-09-25,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,115666,11460,0,198,11460
2018-10-02,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2783452,198578,416117,47674,-217539
2018-10-02,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,33852,1686,753,200,933
2018-10-02,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,115557,11141,0,198,11141
2018-10-02,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,590542,40673,83248,10463,-42575
2018-10-09,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,611580,45865,77897,12976,-32032
2018-10-09,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,43461,3910,2593,200,1317
2018-10-09,S&P 500 TOTAL RETURN INDEX - CHICAGO MERCANTILE EXCHANGE,210007,0,0,0,0
2018-10-09,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,117054,11415,0,198,11415
2018-10-09,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2840595,224310,391052,49344,-166742
2018-10-16,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,117683,11535,0,178,11535
2018-10-16,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2875182,304332,328781,54480,-24449
2018-10-16,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,52125,6479,5585,0,894
2018-10-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,627161,59370,63365,18872,-3995
2018-10-16,S&P 500 TOTAL RETURN INDEX - CHICAGO MERCANTILE EXCHANGE,217007,0,0,0,0
2018-10-23,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,121042,13962,0,178,13962
2018-10-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,634547,70716,78149,14395,-7433
2018-10-23,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2919850,338497,400755,49697,-62258
2018-10-23,S&P 500 TOTAL RETURN INDEX - CHICAGO MERCANTILE EXCHANGE,217007,0,0,0,0
2018-10-23,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,50577,7473,2454,0,5019
2018-10-30,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,114944,12475,0,178,12475
2018-10-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,651135,78152,76831,21726,1321
2018-10-30,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2988190,381923,410941,61975,-29018
2018-10-30,S&P 500 TOTAL RETURN INDEX - CHICAGO MERCANTILE EXCHANGE,217007,0,0,0,0
2018-10-30,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,53497,11098,3974,0,7124
2018-11-06,S&P 500 TOTAL RETURN INDEX - CHICAGO MERCANTILE EXCHANGE,219007,0,0,0,0
2018-11-06,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,54638,11470,4436,286,7034
2018-11-06,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,115974,9475,0,1178,9475
2018-11-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,642723,61745,76356,25546,-14611
2018-11-06,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2940426,298629,406855,79045,-108226
2018-11-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2967052,285460,418415,79494,-132955
2018-11-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,55269,10193,5836,200,4357
2018-11-13,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113262,7123,138,41,6985
2018-11-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,648679,57644,79878,25740,-22234
2018-11-20,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113377,7938,138,41,7800
2018-11-20,S&P 500 TOTAL RETURN INDEX - CHICAGO MERCANTILE EXCHANGE,237007,0,0,0,0
2018-11-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,59056,13113,5242,0,7871
2018-11-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3049639,302245,378121,72109,-75876
2018-11-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,668984,61711,69015,26273,-7304
2018-11-27,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113617,8238,138,41,8100
2018-11-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3037661,328074,376861,85389,-48787
2018-11-27,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,59583,11791,8098,200,3693
2018-11-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,667115,65123,71188,29560,-6065
2018-12-04,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,67226,12517,5511,200,7006
2018-12-04,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,681655,61719,77112,30674,-15393
2018-12-04,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,113511,8078,138,61,7940
2018-12-04,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3072144,305182,417175,93200,-111993
2018-12-11,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,66818,12442,4958,200,7484
2018-12-11,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3135184,359637,376565,95965,-16928
2018-12-11,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,114614,7438,118,80,7320
2018-12-11,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,693855,72862,68764,30900,4098
2018-12-18,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,111287,7020,0,198,7020
2018-12-18,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,65807,13704,5826,293,7878
2018-12-18,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,709900,80565,63132,36066,17433
2018-12-18,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3220465,404687,356910,108483,47777
2018-12-24,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,26978,3465,1499,0,1966
2018-12-24,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,63675,6928,0,478,6928
2018-12-24,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2808490,436477,287420,48743,149057
2018-12-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,588676,88617,56840,11892,31777
2018-12-31,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2694884,296016,285201,54125,10815
2018-12-31,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,64598,6986,0,478,6986
2018-12-31,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,36791,4895,2800,200,2095
2018-12-31,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,575768,59873,55615,15250,4258
2019-01-08,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,65301,7576,0,478,7576
2019-01-08,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2628458,236322,292549,51532,-56227
2019-01-08,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,48050,8305,4229,0,4076
2019-01-08,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,573742,47599,54769,18277,-7170
2019-01-15,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2655210,219550,333977,49046,-114427
2019-01-15,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,54945,9732,4660,500,5072
2019-01-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,585987,45443,63257,18508,-17814
2019-01-15,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,63000,7576,0,478,7576
2019-01-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,595185,51212,67577,25676,-16365
2019-01-22,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,59788,14150,2021,1932,12129
2019-01-22,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2676983,248348,390817,55682,-142469
2019-01-22,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,63110,7676,0,478,7676
2019-01-29,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,60638,16037,4556,281,11481
2019-01-29,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,74844,9652,0,478,9652
2019-01-29,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,599443,55291,64680,26520,-9389
2019-01-29,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2694025,282534,386884,44931,-104350
2019-02-05,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2653040,237804,423181,53561,-185377
2019-02-05,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,61882,13264,5028,406,8236
2019-02-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,592490,45860,74699,26083,-28839
2019-02-05,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,75742,11042,0,478,11042
2019-02-12,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,591539,42009,66769,24975,-24760
2019-02-12,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,62381,13459,2529,422,10930
2019-02-12,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,76499,10012,0,478,10012
2019-02-12,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2645788,207255,385705,58257,-178450
2019-02-19,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,63647,12951,4163,228,8788
2019-02-19,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,77003,10012,0,300,10012
2019-02-19,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2628240,202578,398879,56487,-196301
2019-02-19,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,589295,39247,69719,25745,-30472
2019-02-26,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,63238,12387,2075,904,10312
2019-02-26,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,603122,41995,75377,24425,-33382
2019-02-26,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,78951,10182,0,300,10182
2019-02-26,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2699419,205879,424348,59768,-218469
2019-03-05,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,571144,46771,77462,22040,-30691
2019-03-05,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,46430,9554,1819,894,7735
2019-03-05,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,82296,10702,0,300,10702
2019-03-05,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2623571,231651,423779,60166,-192128
